role,kind,title,year,runtime,genres,plot outline,rating,total votes,votes/rating,demographic,certificates,metascore,mpaa,color info,trivia,rentals
producer,video movie,"W.B., Blue and the Bean",1989,"[u'87', u'Germany:90']","[u'Action', u'Comedy', u'Crime', u'Thriller']",A trio of hapless bounty hunters are recruited by a shady bail bondsman to try to keep a witness in drug trial alive to testify.,4.7,379,"{1: 46, 2: 25, 3: 50, 4: 60, 5: 47, 6: 32, 7: 29, 8: 25, 9: 9, 10: 56}","{u'aged 45+': (111, 4.4), u'aged 30-44': (166, 4.8), u'females': (15, 4.6), u'females aged 30-44': (8, 5.2), 'all votes': (379, 4.7), u'females aged 45+': (6, 4.1), u'males': (287, 4.7), u'males aged 18-29': (21, 5.4), u'aged 18-29': (23, 5.4), u'males aged 30-44': (156, 4.9), u'non-us users': (155, 4.8), u'females aged 18-29': (1, 10.0), u'us users': (137, 4.5), u'top 1000 voters': (50, 4.5), u'males aged 45+': (105, 4.4)}","[u'Iceland:12', u'UK:15', u'USA:R', u'West Germany:12::(f) (cut)']",,,[u'Color'],,
writer,tv series,Hoff the Record,2015,,[u'Comedy'],30 years after rising to fame with Knight Rider and Baywatch the series follows The Hoff as he moves to the UK to get his career back on track and make sense of his increasingly surreal life.,6.9,252,"{1: 11, 2: 8, 3: 2, 4: 9, 5: 8, 6: 26, 7: 52, 8: 58, 9: 19, 10: 59}","{u'aged 45+': (37, 7.2), u'aged 30-44': (111, 6.7), u'females': (28, 6.4), u'females aged 30-44': (12, 6.7), 'all votes': (252, 6.9), u'females aged 45+': (5, 7.1), u'males': (162, 6.8), u'males aged 18-29': (26, 6.8), u'aged 18-29': (34, 6.3), u'males aged 30-44': (98, 6.6), u'non-us users': (131, 6.8), u'females aged 18-29': (8, 4.7), u'us users': (22, 5.5), u'top 1000 voters': (10, 5.0), u'males aged 45+': (30, 7.0)}",,,,[u'Color'],,
writer,tv series,Baywatch Nights,1995,[u'60::(44 episodes)'],"[u'Action', u'Drama']","In this Baywatch spin-off, Mitch Buchannon, the reliable Los Angeles lifeguard, moonlights as a private detective who investigates and solves crimes...",3.9,1041,"{1: 223, 2: 116, 3: 144, 4: 145, 5: 112, 6: 71, 7: 43, 8: 30, 9: 23, 10: 134}","{u'aged 45+': (139, 3.6), u'aged 30-44': (584, 3.6), u'females': (155, 4.3), u'females aged 30-44': (85, 4.0), 'all votes': (1041, 3.9), u'females aged 45+': (30, 4.4), u'males': (738, 3.7), u'males aged 18-29': (112, 4.9), u'aged 18-29': (150, 4.9), u'males aged 30-44': (496, 3.6), u'non-us users': (570, 3.6), u'females aged 18-29': (36, 4.8), u'us users': (220, 4.0), u'top 1000 voters': (64, 3.4), u'males aged 45+': (106, 3.4)}","[u'Australia:M', u'USA:TV-PG']",,,[u'Color'],,
actor,movie,American Paradise,,"[u'110', u'USA:105']","[u'Action', u'Drama']","Paradi$e is a compelling, uplifting, contemporary drama that centers on a Hollywood family falling apart and mending itself back together...",,,,,,,,[u'Color'],,
actor,movie,Power Play,,,[u'Action'],"In the vein of TRUE ROMANCE, this fast paced thriller pits two young hustlers against a RIVAL BOSS to their employer...",,,,,[u'USA:R::(self-applied)'],,,[u'Color'],,
actor,video movie,Guardians of the Galaxy: Inferno,2017,[u'4'],"[u'Short', u'Comedy', u'Music']","A Guardians of the Galaxy video, the Guardians Inferno, featuring 80s pop star Zardu Hasselfrau.",8.7,345,"{1: 5, 2: 3, 3: 1, 4: 5, 5: 6, 6: 11, 7: 27, 8: 51, 9: 77, 10: 159}","{u'aged 45+': (19, 8.6), u'aged 30-44': (97, 8.3), u'females': (19, 9.1), u'females aged 30-44': (5, 8.3), 'all votes': (345, 8.7), u'females aged 45+': (2, 5.5), u'males': (234, 8.6), u'males aged 18-29': (101, 8.6), u'males under 18': (11, 9.6), u'aged 18-29': (109, 8.7), u'males aged 30-44': (91, 8.3), u'non-us users': (136, 8.4), u'females aged 18-29': (7, 9.7), u'us users': (57, 8.7), u'females under 18': (1, 9.0), u'aged under 18': (12, 9.5), u'top 1000 voters': (19, 7.2), u'males aged 45+': (17, 8.9)}",,,,[u'Color'],,
actor,tv series,Nightcap,2016,[u'21::(excluding commercials)'],[u'Comedy'],"Insanity, absurdity and urgency reign, and it's up to head talent booker Staci (Ali Wentworth) to wrangle both her dysfunctional staff and the myriad of stars who bring their quirks, diva demands and peculiar antics to the set.",5.5,217,"{1: 25, 2: 16, 3: 11, 4: 7, 5: 20, 6: 20, 7: 27, 8: 28, 9: 20, 10: 43}","{u'aged 45+': (44, 6.0), u'aged 30-44': (80, 5.5), u'females': (63, 5.8), u'females aged 30-44': (26, 5.9), 'all votes': (217, 5.5), u'females aged 45+': (21, 5.7), u'males': (100, 5.5), u'males aged 18-29': (16, 4.6), u'aged 18-29': (27, 4.9), u'males aged 30-44': (52, 5.6), u'non-us users': (49, 4.9), u'females aged 18-29': (11, 5.4), u'us users': (74, 6.2), u'top 1000 voters': (15, 3.9), u'males aged 45+': (23, 6.3)}",[u'USA:TV-PG'],,,[u'Color'],,
actor,tv series,Logan Paul Summer Saga,2017,,[u'Comedy'],"Join The Rock, Logan Paul, Desiigner, David Hasselhoff, and Seven Bucks Digital Studios on the journey that created the masterpiece that is ""The Song of the Summer"".",4.1,26,"{1: 15, 2: 0, 3: 0, 4: 1, 5: 1, 6: 0, 7: 1, 8: 2, 9: 0, 10: 6}","{u'aged 30-44': (1, 4.0), u'females': (2, 8.5), 'all votes': (26, 4.1), u'males': (8, 3.4), u'aged 18-29': (6, 4.9), u'males under 18': (2, 1.0), u'males aged 18-29': (4, 3.8), u'males aged 30-44': (1, 4.0), u'non-us users': (2, 1.0), u'females aged 18-29': (2, 8.5), u'us users': (4, 6.0), u'aged under 18': (2, 1.0), u'top 1000 voters': (3, 5.3)}",,,,[u'Color'],,
actor,tv series,Seven Bucks Digital Studios,2016,[u'11'],[u'Short'],"The official YouTube channel for Dwayne ""The Rock"" Johnson and Seven Bucks Digital Studios. New videos every Tuesday.",4.6,35,"{1: 13, 2: 3, 3: 1, 4: 3, 5: 2, 6: 3, 7: 0, 8: 0, 9: 2, 10: 8}","{u'aged 45+': (4, 1.8), u'imdb staff': (1, 10.0), u'aged 30-44': (5, 4.1), u'females': (4, 3.2), 'all votes': (35, 4.6), u'females aged 45+': (2, 2.5), u'males': (20, 4.4), u'males aged 18-29': (9, 5.2), u'aged 18-29': (11, 4.9), u'males aged 30-44': (5, 4.1), u'non-us users': (8, 4.0), u'females aged 18-29': (2, 4.0), u'us users': (7, 2.5), u'top 1000 voters': (5, 4.5), u'males aged 45+': (2, 1.0)}",,,,[u'Color'],,
actor,movie,Baywatch,2017,"[u'116', u'121::(Extended Cut)']","[u'Action', u'Comedy', u'Crime']","Devoted lifeguard Mitch Buchannon butts heads with a brash new recruit, as they uncover a criminal plot that threatens the future of the bay.",5.6,71599,"{1: 3323, 2: 2180, 3: 3723, 4: 6219, 5: 12634, 6: 17881, 7: 12777, 8: 5764, 9: 2076, 10: 5022}","{u'aged 45+': (3324, 5.2), u'imdb staff': (8, 6.0), u'aged 30-44': (19818, 5.4), u'females': (9184, 5.8), u'females aged 30-44': (2609, 5.6), 'all votes': (71599, 5.6), u'females aged 45+': (446, 5.6), u'males': (44231, 5.5), u'males aged 18-29': (19651, 5.7), u'males under 18': (521, 6.2), u'aged 18-29': (24839, 5.7), u'males aged 30-44': (16957, 5.4), u'non-us users': (29719, 5.5), u'females aged 18-29': (4947, 5.9), u'us users': (7686, 5.5), u'females under 18': (188, 7.0), u'aged under 18': (714, 6.4), u'top 1000 voters': (258, 4.5), u'males aged 45+': (2814, 5.2)}","[u'Argentina:16', u'Australia:MA15+', u'Austria:14', u'Brazil:14', u'Canada:14A::(British Columbia)', u'Chile:14', u'Denmark:11', u'Finland:K-12', u'France:Tous publics', u'Germany:12', u'Greece:K-15', u'Hong Kong:IIB', u'Indonesia:21+', u'Ireland:15A', u'Malaysia:18', u'Mexico:B', u'Netherlands:12', u'New Zealand:R13', u'Norway:12', u'Philippines:R-16', u'Portugal:M/14', u'Singapore:M18', u'South Korea:18', u'Spain:16', u'Sweden:11', u'Switzerland:12', u'Taiwan:R-12', u'Thailand:18', u'UK:15', u'USA:R::(certificate #50688)']",37,"Rated R for language throughout, crude sexual content, and graphic nudity",[u'Color'],,
actor,movie,It's No Game,2017,,"[u'Short', u'Sci-Fi']","With a possible screenwriters strike looming, they should beware as Benjamin a self-named artificial intelligence bot might just take their jobs.",6.6,9,"{1: 0, 2: 1, 3: 0, 4: 0, 5: 2, 6: 2, 7: 1, 8: 1, 9: 0, 10: 2}","{u'aged 30-44': (2, 3.5), u'females': (1, 10.0), 'all votes': (9, 6.6), u'males': (5, 5.4), u'males aged 18-29': (3, 8.0), u'aged 18-29': (4, 8.5), u'males aged 30-44': (2, 3.5), u'females aged 18-29': (1, 10.0), u'us users': (3, 7.3), u'non-us users': (2, 5.5)}",,,,[u'Color'],,
actor,movie,Guardians of the Galaxy Vol. 2,2017,[u'136'],"[u'Action', u'Adventure', u'Sci-Fi']",The Guardians must fight to keep their newfound family together as they unravel the mystery of Peter Quill's true parentage.,7.8,277886,"{1: 2340, 2: 915, 3: 1512, 4: 2959, 5: 7193, 6: 21669, 7: 56495, 8: 84533, 9: 55905, 10: 44365}","{u'aged 45+': (15017, 7.8), u'imdb staff': (34, 8.0), u'aged 30-44': (76305, 7.7), u'females': (32598, 8.1), u'females aged 30-44': (9923, 8.0), 'all votes': (277886, 7.8), u'females aged 45+': (2211, 8.2), u'males': (173271, 7.8), u'males aged 18-29': (76194, 7.8), u'males under 18': (1835, 8.2), u'aged 18-29': (93659, 7.8), u'males aged 30-44': (65237, 7.7), u'non-us users': (108059, 7.7), u'females aged 18-29': (16469, 8.1), u'us users': (35540, 7.9), u'females under 18': (413, 8.4), u'aged under 18': (2263, 8.2), u'top 1000 voters': (446, 7.5), u'males aged 45+': (12531, 7.7)}","[u'Argentina:13', u'Australia:M', u'Austria:12', u'Brazil:12', u'Canada:PG::(British Columbia)', u'Canada:G::(Qu\xe9bec)', u'Chile:TE', u'France:Tous publics', u'Germany:12', u'Hong Kong:IIA', u'Hungary:12', u'Ireland:12A', u'Japan:G', u'Malaysia:P13', u'Mexico:B', u'Netherlands:12', u'Norway:12', u'Philippines:PG-13', u'Portugal:M/12', u'Russia:16+', u'Singapore:PG13', u'South Korea:12', u'Sweden:11', u'Switzerland:12', u'Taiwan:R-12', u'Thailand:G', u'UK:12A', u'USA:PG-13::(certificate #50971)']",67,"Rated PG-13 for sequences of sci-fi action and violence, language, and brief suggestive content",[u'Color::(ACES)'],,
actor,video movie,F.A.C.T.S,2016,,[u'Short'],,,,,{},,,,,,
actor,video game,Call of Duty: Infinite Warfare,2016,,"[u'Action', u'Adventure', u'Sci-Fi', u'War']","Returns to the roots of the franchise where large-scale war and cinematic, immersive military storytelling take center stage.",6.3,1417,"{1: 235, 2: 45, 3: 58, 4: 64, 5: 116, 6: 115, 7: 180, 8: 221, 9: 115, 10: 268}","{u'aged 45+': (46, 6.2), u'aged 30-44': (275, 6.7), u'females': (33, 3.5), u'females aged 30-44': (16, 3.6), 'all votes': (1417, 6.3), u'females aged 45+': (4, 4.2), u'males': (842, 6.5), u'aged 18-29': (395, 6.3), u'males under 18': (32, 5.9), u'males aged 18-29': (383, 6.4), u'males aged 30-44': (257, 6.8), u'non-us users': (357, 6.6), u'females aged 18-29': (9, 2.9), u'us users': (219, 6.0), u'aged under 18': (33, 6.1), u'top 1000 voters': (39, 4.3), u'males aged 45+': (41, 6.5)}","[u'Australia:MA15+::(2016)', u'Germany:18', u'Japan:Z::(CERO)', u'Singapore:M18', u'South Korea:18', u'UK:18', u'USA:M']",,,[u'Color'],,
actor,tv movie,Sharknado 4: The 4th Awakens,2016,[u'95'],"[u'Comedy', u'Horror', u'Sci-Fi']","Fin, his family and the cosmos have been blissfully sharknado-free in the five years since the most recent attack, but now sharks and tornadoes are being whipped up in unexpected ways and places.",4.0,4731,"{1: 826, 2: 555, 3: 613, 4: 647, 5: 641, 6: 404, 7: 284, 8: 199, 9: 89, 10: 473}","{u'aged 45+': (675, 4.3), u'aged 30-44': (1707, 4.0), u'females': (490, 4.3), u'females aged 30-44': (181, 4.3), 'all votes': (4731, 4.0), u'females aged 45+': (93, 5.0), u'males': (3239, 4.0), u'males aged 18-29': (902, 3.9), u'males under 18': (36, 3.9), u'aged 18-29': (1062, 3.9), u'males aged 30-44': (1511, 3.9), u'non-us users': (1992, 3.7), u'females aged 18-29': (150, 3.9), u'us users': (957, 4.5), u'females under 18': (2, 2.0), u'aged under 18': (39, 3.8), u'top 1000 voters': (142, 4.0), u'males aged 45+': (572, 4.3)}","[u'Australia:MA15+', u'Canada:PG::(Manitoba)', u'Canada:14A::(Ontario)', u'Canada:13+::(Quebec)', u'Finland:K-16/13', u'Germany:16', u'Ireland:15', u'Netherlands:16', u'Poland:16', u'Singapore:NC16', u'Singapore:PG13::(edited TV version)', u'South Korea:15::(2017)', u'Sweden:15', u'UK:15', u'USA:TV-14']",,,[u'Color'],,
actor,tv series,TripTank,2014,,"[u'Animation', u'Comedy']","The sickest, most twisted animated shorts ever put on television.",6.3,911,"{1: 160, 2: 24, 3: 26, 4: 28, 5: 41, 6: 71, 7: 120, 8: 144, 9: 88, 10: 209}","{u'aged 45+': (73, 6.4), u'aged 30-44': (276, 6.0), u'females': (105, 6.6), u'females aged 30-44': (25, 5.6), 'all votes': (911, 6.3), u'females aged 45+': (10, 5.8), u'males': (621, 6.4), u'aged 18-29': (326, 6.9), u'males aged 18-29': (265, 6.8), u'males aged 30-44': (246, 6.0), u'non-us users': (316, 6.6), u'females aged 18-29': (61, 7.3), u'us users': (210, 5.9), u'females under 18': (1, 1.0), u'aged under 18': (1, 1.0), u'top 1000 voters': (30, 4.4), u'males aged 45+': (62, 6.5)}","[u'Germany:16::(TV rating)', u'Netherlands:12', u'Spain:18::(cable rating)', u'USA:TV-MA::(cable rating)']",,,[u'Color'],,
actor,tv movie,Last Night a DJ Saved My Life,2016,[u'UK:90'],[u'Musical'],David Hasselhoff (Baywatch) is a die-hard thrill-seeker and Ibiza's top 80's DJ. Clueless to the fact that a new decade has dawned - disco is out...,7.0,6,"{1: 2, 2: 0, 3: 0, 4: 0, 5: 0, 6: 0, 7: 0, 8: 0, 9: 0, 10: 4}","{u'males aged 30-44': (1, 10.0), 'all votes': (6, 7.0), u'males': (3, 7.0), u'males aged 18-29': (2, 5.5), u'aged 18-29': (2, 5.5), u'aged 30-44': (1, 10.0), u'non-us users': (1, 10.0)}",[u'USA:TV-PG'],,,[u'Color'],,
actor,movie,Alleluia! The Devil's Carnival,2016,[u'97'],"[u'Horror', u'Musical']",Lucifer and his carnies are plotting against Heaven. This is how the war begins.,7.0,396,"{1: 26, 2: 7, 3: 9, 4: 9, 5: 22, 6: 32, 7: 56, 8: 53, 9: 33, 10: 149}","{u'aged 45+': (31, 5.6), u'aged 30-44': (136, 6.8), u'females': (128, 8.0), u'females aged 30-44': (52, 8.5), 'all votes': (396, 7.0), u'females aged 45+': (6, 7.9), u'males': (181, 6.5), u'aged 18-29': (133, 7.5), u'males under 18': (1, 10.0), u'males aged 18-29': (70, 7.4), u'males aged 30-44': (83, 6.2), u'non-us users': (89, 6.2), u'females aged 18-29': (62, 7.4), u'us users': (144, 7.6), u'aged under 18': (2, 10.0), u'top 1000 voters': (21, 5.1), u'males aged 45+': (22, 4.7)}",,,,[u'Color'],,
actor,tv series,Hoff the Record,2015,,[u'Comedy'],30 years after rising to fame with Knight Rider and Baywatch the series follows The Hoff as he moves to the UK to get his career back on track and make sense of his increasingly surreal life.,6.9,252,"{1: 11, 2: 8, 3: 2, 4: 9, 5: 8, 6: 26, 7: 52, 8: 58, 9: 19, 10: 59}","{u'aged 45+': (37, 7.2), u'aged 30-44': (111, 6.7), u'females': (28, 6.4), u'females aged 30-44': (12, 6.7), 'all votes': (252, 6.9), u'females aged 45+': (5, 7.1), u'males': (162, 6.8), u'males aged 18-29': (26, 6.8), u'aged 18-29': (34, 6.3), u'males aged 30-44': (98, 6.6), u'non-us users': (131, 6.8), u'females aged 18-29': (8, 4.7), u'us users': (22, 5.5), u'top 1000 voters': (10, 5.0), u'males aged 45+': (30, 7.0)}",,,,[u'Color'],,
actor,tv movie,Sharknado 3: Oh Hell No!,2015,[u'93'],"[u'Comedy', u'Horror', u'Sci-Fi']","A monstrous tornado unleashes ravenous sharks from Washington, D.C., all the way down to Orlando, Florida.",4.2,9012,"{1: 1510, 2: 928, 3: 1133, 4: 1267, 5: 1204, 6: 870, 7: 632, 8: 352, 9: 179, 10: 937}","{u'aged 45+': (1207, 4.4), u'imdb staff': (1, 7.0), u'aged 30-44': (3263, 4.1), u'females': (1029, 4.3), u'females aged 30-44': (383, 4.3), 'all votes': (9012, 4.2), u'females aged 45+': (177, 5.3), u'males': (6124, 4.1), u'males aged 18-29': (1873, 4.1), u'males under 18': (59, 3.6), u'aged 18-29': (2269, 4.1), u'males aged 30-44': (2844, 4.1), u'non-us users': (3781, 3.9), u'females aged 18-29': (371, 3.9), u'us users': (1862, 4.5), u'females under 18': (11, 2.6), u'aged under 18': (71, 3.5), u'top 1000 voters': (209, 4.1), u'males aged 45+': (1010, 4.3)}","[u'Australia:MA15+', u'Canada:14A::(Manitoba/Nova Scotia/Ontario)', u'Canada:13+::(Quebec)', u'Finland:K-16/13', u'Germany:16', u'Ireland:15', u'Netherlands:16', u'New Zealand:R13', u'Poland:16', u'Singapore:NC16', u'Singapore:PG13::(edited TV version)', u'South Korea:15', u'Sweden:15', u'UK:15', u'USA:TV-14']",,,[u'Color'],,
actor,movie,Kung Fury,2015,[u'31'],"[u'Short', u'Action', u'Comedy', u'Fantasy', u'Sci-Fi']","In 1985, Kung Fury, the toughest martial artist cop in Miami, goes back in time to kill the worst criminal of all time - kung fuhrer Hitler.",8.1,46440,"{1: 528, 2: 291, 3: 424, 4: 572, 5: 1161, 6: 2757, 7: 6556, 8: 11442, 9: 9500, 10: 13209}","{u'aged 45+': (1969, 7.9), u'imdb staff': (3, 8.7), u'aged 30-44': (17002, 8.0), u'females': (2697, 8.0), u'females aged 30-44': (932, 8.1), 'all votes': (46440, 8.1), u'females aged 45+': (129, 7.5), u'males': (35273, 8.1), u'males aged 18-29': (15588, 8.1), u'males under 18': (211, 8.0), u'aged 18-29': (17284, 8.1), u'males aged 30-44': (15844, 8.0), u'non-us users': (23496, 8.0), u'females aged 18-29': (1477, 8.0), u'us users': (5266, 8.0), u'females under 18': (18, 6.9), u'aged under 18': (230, 7.9), u'top 1000 voters': (242, 7.3), u'males aged 45+': (1788, 7.9)}","[u'Australia:MA15+::(2016)', u'Greece:K-12', u'Netherlands:16', u'Singapore:NC16', u'South Korea:18::(2016)', u'USA:Not Rated']",,,[u'Color'],,
